TAP_Chains_Name	Bypassreg	SIZE	Fublets	MIFS	Instance	ChainName	PowerDomain	ControlPowerSupply
			DISP_DEPLL_3.ADDR	ctech_lib_buf	par_disp_fabric.iov_disp_fabric.disp_fabric_iov_rpt1.buf_tdo	par_disp_fabric_chain_0	vccsa	vccsa
TAP CDU_FIVR_SA_TAP	IOVCTL	SIZE = 13;	IDV_CHAIN					
			IDVDIGFIVRSA05.ADDR	e8xmidvwdnhmif	par_fivr_sa.iov_fivr_sa.idvdigfivrsa05_wrap.idvdigfivrsa05	par_fivr_sa_chain_0	vccsa	vccsa
			IDVDIGFIVRSA01.ADDR	e8xmidvwdnhmif	par_fivr_sa.iov_fivr_sa.idvdigfivrsa01_wrap.idvdigfivrsa01	par_fivr_sa_chain_0	vccsa	vccsa
TAP CDU_FUSE_TAP	IOVCTL	SIZE = 76;	IDV_CHAIN					
			IDVDIGFUSE050.ADDR	e8xmidvwdnhmif	par_fuse.iov_fuse.idvdigfuse050_wrap.idvdigfuse050	par_fuse_chain_0	vccstg	vccstg
			IDVFFUSE030.ADDR	e8xmidvfusemif	par_fuse.iov_fuse.idvffuse030_wrap.idvffuse030	par_fuse_chain_0	vccstg	vccstg
			IDVDIGFUSE020.ADDR	e8xmidvtdnhmif	par_fuse.iov_fuse.idvdigfuse020_wrap.idvdigfuse020	par_fuse_chain_0	vccstg	vccstg
TAP CDU_GMM_TAP	IOVCTL	SIZE = 32;	IDV_CHAIN					
			IDVDIGGMM010.ADDR	e8xmidvwdnhmif	par_gmm.iov_gmm.idvdiggmm010_wrap.idvdiggmm010	par_gmm_chain_0	vccsa	vccsa
TAP CDU_GT_TAP8	IOVCTL	SIZE = 19;	IDV_CHAIN_GT					
			IDVDIGGT030.ADDR	e8xmidvwdnhmif	par_gt.iov_gt.idvdiggt030_wrap.idvdiggt030	par_gt_chain_0	vccsa	vccsa
			IDVDIGGT020.ADDR	e8xmidvwdnhmif	par_gt.iov_gt.idvdiggt020_wrap.idvdiggt020	par_gt_chain_0	vccsa	vccsa
			IDVDIGGT010.ADDR	e8xmidvwdnhmif	par_gt.iov_gt.idvdiggt010_wrap.idvdiggt010	par_gt_chain_0	vccsa	vccsa
TAP CDU_IOP_TAP	IOVCTL	SIZE = 33;	IDV_CHAIN					
			IDVDIGIOP01.ADDR	e8xmidvwdnhmif	par_iop.iov_iop.idvdigiop01_wrap.idvdigiop01	par_iop_chain_0	vccsa	vccsa
TAP CDU_MC_MAIN_TAP	IOVCTL	SIZE = 4334;	IDV_CHAIN					
			IDVDIGMC060.ADDR	e8xmidvwdnhmif	par_mc_main.iov_mc.idvdigmc060_wrap.idvdigmc060	par_mc_main_chain_0	vccsagmemmc	vccsagmemmc
			IDVDIGMC030.ADDR	e8xmidvtdnhmif	par_mc_main.iov_mc.idvdigmc030_wrap.idvdigmc030	par_mc_main_chain_0	vccsagmemmc	vccsagmemmc
TAP CDU_NPK_TAP	IOVCTL	SIZE = 66;	IDV_CHAIN					
			IDV_NPK_VCCSA_1000.ADDR	e8xmidvwdnhmif	par_npk.iov_npk.idv_npk_vccsa_1000_wrap.idv_npk_vccsa_1000	par_npk_chain_0	vccsa	vccsa
TAP CDU_OPIO_TAP	IOVCTL	SIZE = 92;	IDV_CHAIN	Haim				
			OPIO_PHY_IDV_0.ADDR	PLL?IDV?	par_opio.iov_opio.opio_iov_prst.buf_tdo	par_opio_chain_0	vccsa	vccsa
			OPIO_PHY_IDV_1.ADDR	PLL?IDV?	par_opio.iov_opio.opio_iov_prst.buf_tdo	par_opio_chain_0	vccsa	vccsa
			OPIO_PLL_0.ADDR	ctech_lib_buf	par_opio.iov_opio.opio_iov_prst.buf_tdo	par_opio_chain_0	vccsa	vccsa
			OPIO_PLL_1.ADDR	ctech_lib_buf	par_opio.iov_opio.opio_iov_prst.buf_tdo	par_opio_chain_0	vccsa	vccsa
			OPIO_PLL_2.ADDR	ctech_lib_buf	par_opio.iov_opio.opio_iov_prst.buf_tdo	par_opio_chain_0	vccsa	vccsa
			OPIO_PLL_3.ADDR	ctech_lib_buf	par_opio.iov_opio.opio_iov_prst.buf_tdo	par_opio_chain_0	vccsa	vccsa
TAP CDU_PSF0_TAP	IOVCTL	SIZE = 51;	IDV_CHAIN					
			IDVDIGPSF0040.ADDR	e8xsidvw1upmif	par_psf0.iov_psf0.idvdigpsf0040_wrap.idvdigpsf0040	par_psf0_chain_0	vccsa	vccsa
			IDVDIGPSF0020.ADDR	e8xmidvwdnhmif	par_psf0.iov_psf0.idvdigpsf0020_wrap.idvdigpsf0020	par_psf0_chain_0	vccsa	vccsa
			IDVDIGPSF0010.ADDR	e8xmidvwdnhmif	par_psf0.iov_psf0.idvdigpsf0010_wrap.idvdigpsf0010	par_psf0_chain_0	vccsa	vccsa
TAP CDU_PSF1_TAP	IOVCTL	SIZE = 46;	IDV_CHAIN					
			IDVDIGPSF105.ADDR	e8xmidvwdnhmif	par_psf1.iov_psf1.idvdigpsf105_wrap.idvdigpsf105	par_psf1_chain_0	vccsa	vccsa
			IDVDIGPSF101.ADDR	e8xmidvwdnhmif	par_psf1.iov_psf1.idvdigpsf101_wrap.idvdigpsf101	par_psf1_chain_0	vccsa	vccsa
TAP CDU_PUNIT_TAP	IOVCTL	SIZE = 66;	IDV_CHAIN					
			IDVDIGPUNIT30.ADDR	e8xmidvtdnhmif	par_punit.iov_punit.idvdigpunit30_wrap.idvdigpunit30	par_punit_chain_0	vccsa	vccsa
TAP CDU_SA_FABRIC_SA_TAP0	IOVCTL	SIZE = 80;	IDV_CHAIN					
			IDVDIGSAFABRIC070.ADDR	e8xmidvwdnhmif	par_sa_fabric.iov_sa_fabric.idvdigsafabric070_wrap.idvdigsafabric070	par_sa_fabric_chain_0	vccsa	vccsa
			SA_FABRIC_CMIPLL_0.ADDR	ctech_lib_buf	par_sa_central_fabric.iov_sa_central_fabric.sa_central_fabric_iov_rpt1.buf_tdo	par_sa_central_fabric_chain_0	vccsa	vccsa
			SA_FABRIC_CMIPLL_1.ADDR	ctech_lib_buf	par_sa_central_fabric.iov_sa_central_fabric.sa_central_fabric_iov_rpt1.buf_tdo	par_sa_central_fabric_chain_0	vccsa	vccsa
			SA_FABRIC_CMIPLL_2.ADDR	ctech_lib_buf	par_sa_central_fabric.iov_sa_central_fabric.sa_central_fabric_iov_rpt1.buf_tdo	par_sa_central_fabric_chain_0	vccsa	vccsa
			SA_FABRIC_CMIPLL_3.ADDR	ctech_lib_buf	par_sa_central_fabric.iov_sa_central_fabric.sa_central_fabric_iov_rpt1.buf_tdo	par_sa_central_fabric_chain_0	vccsa	vccsa
			IDVDIGSAFABRIC060.ADDR	e8xmidvwdnhmif	par_sa_fabric.iov_sa_fabric.idvdigsafabric060_wrap.idvdigsafabric060	par_sa_fabric_chain_0	vccsa	vccsa
			IDVDIGSAFABRIC040.ADDR	e8xmidvwdnhmif	par_sa_fabric.iov_sa_fabric.idvdigsafabric040_wrap.idvdigsafabric040	par_sa_fabric_chain_0	vccsa	vccsa
			IDVDIGSAFABRIC030.ADDR	e8xmidvwdnhmif	par_sa_fabric.iov_sa_fabric.idvdigsafabric030_wrap.idvdigsafabric030	par_sa_fabric_chain_0	vccsa	vccsa
			IDVDIGSAFABRIC020.ADDR	e8xmidvwdnhmif	par_sa_fabric.iov_sa_fabric.idvdigsafabric020_wrap.idvdigsafabric020	par_sa_fabric_chain_0	vccsa	vccsa
			IDVDIGSAFABRIC010.ADDR	e8xmidvwdnhmif	par_sa_fabric.iov_sa_fabric.idvdigsafabric010_wrap.idvdigsafabric010	par_sa_fabric_chain_0	vccsa	vccsa
TAP CDU_SA_FABRIC_SA_TAP1	IOVCTL	SIZE = 32;	IDV_CHAIN					
			IDVDIGSACENTRALFABRIC05.ADDR	e8xmidvwdnhmif	par_sa_central_fabric.iov_sa_central_fabric.idvdigsacentralfabric05_wrap.idvdigsacentralfabric05	par_sa_central_fabric_chain_0	vccsa	vccsa
			IDVDIGSACENTRALFABRIC04.ADDR	e8xmidvwdnhmif	par_sa_central_fabric.iov_sa_central_fabric.idvdigsacentralfabric04_wrap.idvdigsacentralfabric04	par_sa_central_fabric_chain_0	vccsa	vccsa
			IDVDIGSACENTRALFABRIC03.ADDR	e8xmidvwdnhmif	par_sa_central_fabric.iov_sa_central_fabric.idvdigsacentralfabric03_wrap.idvdigsacentralfabric03	par_sa_central_fabric_chain_0	vccsa	vccsa
			IDVDIGSACENTRALFABRIC02.ADDR	e8xmidvwdnhmif	par_sa_central_fabric.iov_sa_central_fabric.idvdigsacentralfabric02_wrap.idvdigsacentralfabric02	par_sa_central_fabric_chain_0	vccsa	vccsa
			IDVDIGSACENTRALFABRIC01.ADDR	e8xmidvwdnhmif	par_sa_central_fabric.iov_sa_central_fabric.idvdigsacentralfabric01_wrap.idvdigsacentralfabric01	par_sa_central_fabric_chain_0	vccsa	vccsa
TAP CDU_SSA_TAP	IOVCTL	SIZE = 85;	IDV_CHAIN					
			IDVDIGSSA09.ADDR	e8xmidvtdnhmif	par_ssa.iov_ssa.idvdigssa09_wrap.idvdigssa09	par_ssa_chain_0	vccsa	vccsa
			IDVDIGSSA041.ADDR	e8xmidvw1upmif	par_ssa.iov_ssa.idvdigssa041_wrap.idvdigssa041	par_ssa_chain_0	vccsa	vccsa
			IDVDIGSSA04.ADDR	e8xmidvwdnhmif	par_ssa.iov_ssa.idvdigssa04_wrap.idvdigssa04	par_ssa_chain_0	vccsa	vccsa
TAP CDU_TUNNEL_FABRIC_SA_TAP1	IOVCTL	SIZE = 25;	IDV_CHAIN					
			IDVDIGSAWESTFABRIC04.ADDR	e8xmidvwdnhmif	par_sa_west_fabric.iov_sa_west_fabric.idvdigsawestfabric04_wrap.idvdigsawestfabric04	par_sa_west_fabric_chain_0	vccsa	vccsa
